cro,foreign
nogomet,football
nogomet,Fußball
nogomet,Fotbal
nogomet,sokker
nogomet,futboll
nogomet,futbol
nogomet,Fodbold
nogomet,Amerikaans voetbal
nogomet,Jalgpall
nogomet,Football
nogomet,jalkapallo
nogomet,Football
nogomet,fútbol
nogomet,foutbòl
nogomet,fótbolti
nogomet,sepak bola
nogomet,sacar
nogomet,calcio
nogomet,futbols
nogomet,futbolas
nogomet,Fotball
nogomet,futbol
nogomet,fútbol
nogomet,nogomet
nogomet,futbal
rukomet,handball
rukomet,Handball
rukomet,házená
rukomet,handbal
rukomet,hendboll
rukomet,àcid
rukomet,håndbold
rukomet,handbal
rukomet,käsipall
rukomet,handball
rukomet,Käsipallo
rukomet,handball
rukomet,balonmán
rukomet,men
rukomet,Handbolti
rukomet,bola tangan
rukomet,liathróid áthais
rukomet,palla a mano
rukomet,handbols
rukomet,rankinis
rukomet,håndball
rukomet,handball
rukomet,balonmano
rukomet,rokomet
rukomet,hádzanie
odbojka,volleyball
odbojka,Volleyball
odbojka,volejbal
odbojka,vlugbal
odbojka,volejboll
odbojka,voleibol
odbojka,Volleyball
odbojka,volleybal
odbojka,võrkpall
odbojka,volleyball
odbojka,Lentopallo
odbojka,volley-ball
odbojka,voleibol
odbojka,volebòl
odbojka,Blak
odbojka,bola voli
odbojka,eitpheil
odbojka,pallavolo
odbojka,volejbols
odbojka,Tinklinis
odbojka,volleyball
odbojka,Volleyball
odbojka,vóleibol
odbojka,odbojka
odbojka,volejbal
tenis,tennis
tenis,Tennis
tenis,tenis
tenis,tennis
tenis,tenis
tenis,tenis
tenis,tennis
tenis,tennis
tenis,tennis
tenis,tennis
tenis,tennis
tenis,tennis
tenis,tenis
tenis,tenis
tenis,Tennis
tenis,tenis
tenis,Leadóg
tenis,tennis
tenis,teniss
tenis,tenisas
tenis,tennis
tenis,tennis
tenis,tenis
tenis,tenis
tenis,tenisový
hokej,hockey
hokej,Eishockey
hokej,hokej
hokej,hokkie
hokej,hokej
hokej,l’hoquei
hokej,Hockey
hokej,hockey
hokej,hok
hokej,hockey
hokej,jääkiekko
hokej,le hockey
hokej,Hockey
hokej,kay
hokej,íshokkí
hokej,hoki
hokej,haca
hokej,hockey
hokej,hokejs
hokej,ledo ritulys
hokej,hockey
hokej,hockey
hokej,hockey
hokej,hokej
hokej,hokej
kriket,cricket
kriket,Kricket
kriket,kriket
kriket,krieket
kriket,kriket
kriket,cricket
kriket,cricket
kriket,cricket
kriket,kriket
kriket,kuliglig
kriket,kriketti
kriket,criquet
kriket,cricket
kriket,krikèt
kriket,Krikket
kriket,jangkrik
kriket,criogar
kriket,cricket
kriket,krikets
kriket,Kriketas
kriket,siriss
kriket,cricket
kriket,Grillo
kriket,Kriket
kriket,kriket
skijanje,skiing
skijanje,Skifahren
skijanje,lyžování
skijanje,ski
skijanje,ski
skijanje,esquiar
skijanje,stå på ski
skijanje,skiën
skijanje,suusatamine
skijanje,Skiing
skijanje,hiihto
skijanje,ski
skijanje,esquí
skijanje,ski
skijanje,skíði
skijanje,Ski
skijanje,sciáil
skijanje,sciare
skijanje,slēpošana
skijanje,slidinėjimas
skijanje,stå på ski
skijanje,skiing
skijanje,esquí
skijanje,smučanje
skijanje,lyžovanie
boks,boxing
boks,Boxen
boks,box
boks,boks
boks,boks
boks,boxa
boks,boksning
boks,boksen
boks,poks
boks,Boxing
boks,nyrkkeily
boks,boxe
boks,boxeo
boks,boksè
boks,Hnefaleika
boks,tinju
boks,dornáil
boks,boxe
boks,bokss
boks,Boksas
boks,boksing
boks,boxing
boks,boxeo
boks,boks
boks,box
gimnastika,gymnastics
gimnastika,Gymnastik
gimnastika,gymnastika
gimnastika,gimnastiek
gimnastika,gjimnastikë
gimnastika,gimnàs
gimnastika,gymnastik
gimnastika,gymnastiek
gimnastika,võimlemine
gimnastika,Gymnastics
gimnastika,voimistelu
gimnastika,gymnastique
gimnastika,Ximnasia
gimnastika,jimnastik
gimnastika,Fimleikar
gimnastika,olahraga senam
gimnastika,gleacaíocht
gimnastika,ginnastica
gimnastika,vingrošana
gimnastika,gimnastika
gimnastika,gymnastikk
gimnastika,ġinnastika
gimnastika,gimnasia
gimnastika,Gimnastika
gimnastika,gymnastika
stolni tenis,table tennis
stolni tenis,Tischtennis
stolni tenis,stolní tenis
stolni tenis,tafeltennis
stolni tenis,pingpong
stolni tenis,tennis taula
stolni tenis,bordtennis
stolni tenis,tafeltennis
stolni tenis,lauatennis
stolni tenis,tennis ng talahanayan
stolni tenis,Pöytätennis
stolni tenis,tennis de table
stolni tenis,Tenis de mesa
stolni tenis,Tenis tab
stolni tenis,borðtennis
stolni tenis,tenis meja
stolni tenis,Leadóg bhoird
stolni tenis,Tennis da tavolo
stolni tenis,galda teniss
stolni tenis,stalo tenisas
stolni tenis,bordtennis
stolni tenis,Tennis tat-Tabella
stolni tenis,Tenis de mesa
stolni tenis,namizni tenis
stolni tenis,stolný tenis
biljar,billiards
biljar,Billard
biljar,kulečník
biljar,biljard
biljar,bilardo
biljar,billar
biljar,billard
biljar,biljart
biljar,piljard
biljar,billiards
biljar,biljardi
biljar,billard
biljar,billar
biljar,biya
biljar,billjard
biljar,bilyar
biljar,billéardaí
biljar,biliardo
biljar,biljards
biljar,Billiardai
biljar,biljard
biljar,BILLIJI
biljar,billar
biljar,biljard
biljar,biliard
plivanje,swimming
plivanje,Baden
plivanje,plavání
plivanje,swem
plivanje,not
plivanje,natació
plivanje,svømning
plivanje,zwemmen
plivanje,ujumine
plivanje,paglangoy
plivanje,uima-
plivanje,natation
plivanje,nadar
plivanje,naje
plivanje,Sund
plivanje,renang
plivanje,snámh
plivanje,nuoto
plivanje,peldēšana
plivanje,plaukimas
plivanje,svømming
plivanje,Għawm
plivanje,natación
plivanje,plavanje
plivanje,kúpanie
trčanje,jogging
trčanje,Joggen
trčanje,jogging
trčanje,draf
trčanje,vrapim
trčanje,troqueig
trčanje,løbe
trčanje,joggen
trčanje,sörkimine
trčanje,Jogging
trčanje,lenkkeily
trčanje,le jogging
trčanje,correr
trčanje,djogan
trčanje,skokk
trčanje,joging
trčanje,bogriseadh
trčanje,jogging
trčanje,skriešana
trčanje,bėgiojimas
trčanje,jogge
trčanje,jogging
trčanje,trotar
trčanje,Jogging
trčanje,bežecký
biciklizam,cycling
biciklizam,Radfahren
biciklizam,cyklistika
biciklizam,fietsry
biciklizam,çiklizëm
biciklizam,ciclisme
biciklizam,cykling
biciklizam,wielersport
biciklizam,jalgrattasõit
biciklizam,pagbibisikleta
biciklizam,pyöräily
biciklizam,vélo
biciklizam,ciclismo
biciklizam,monte bisiklèt
biciklizam,hjóla
biciklizam,bersepeda
biciklizam,rothaíocht
biciklizam,Ciclismo
biciklizam,riteņbraukšana
biciklizam,dviračiu Sportas
biciklizam,sykling
biciklizam,ċikliżmu
biciklizam,ciclismo
biciklizam,kolesarjenje
biciklizam,cyklistika
badminton,badminton
badminton,Badminton
badminton,badminton
badminton,badminton
badminton,badminton
badminton,bàdminton
badminton,Badminton
badminton,badminton
badminton,sulgpall
badminton,Badminton
badminton,sulkapallo
badminton,badminton
badminton,bádminton
badminton,badminton
badminton,badmínton
badminton,bulu tangkis
badminton,badmantan
badminton,badminton
badminton,badmintons
badminton,Badmintonas
badminton,badminton
badminton,badminton
badminton,bádminton
badminton,Badminton
badminton,bedminton
golf,golf
golf,Golf
golf,golf
golf,golf
golf,golf
golf,golf
golf,golf
golf,golf
golf,golf
golf,Golf
golf,golf
golf,le golf
golf,golf
golf,golf
golf,Golf
golf,golf
golf,galf
golf,golf
golf,golfs
golf,Golfas
golf,golf
golf,golf
golf,golf
golf,golf
golf,golf
bejzbol,baseball
bejzbol,Baseball
bejzbol,baseball
bejzbol,bofbal
bejzbol,bejsboll
bejzbol,beisbol
bejzbol,Baseball
bejzbol,basketbal
bejzbol,pesapall
bejzbol,Baseball
bejzbol,baseball
bejzbol,base-ball
bejzbol,béisbol
bejzbol,boutik
bejzbol,Baseball
bejzbol,baseball
bejzbol,daorchluiche
bejzbol,baseball
bejzbol,beisbols
bejzbol,Beisbolas
bejzbol,baseball
bejzbol,baseball
bejzbol,béisbol
bejzbol,Baseball
bejzbol,baseball
ragbi,rugby
ragbi,Rugby
ragbi,ragby
ragbi,rugby
ragbi,rugby
ragbi,rugby
ragbi,Rugby
ragbi,rugby
ragbi,ragbi
ragbi,Rugby
ragbi,rugby
ragbi,le rugby
ragbi,Rugby
ragbi,Rugbi
ragbi,Rugby
ragbi,ragbi
ragbi,rugbaí
ragbi,Rugby
ragbi,regbijs
ragbi,Regbis
ragbi,rugby
ragbi,Rugby
ragbi,rugby
ragbi,ragbi
ragbi,ragby
navijač,fan
navijač,Fan
navijač,fanoušek
navijač,waaier
navijač,tifoz
navijač,ventilador
navijač,ventilator
navijač,fan
navijač,fänn
navijač,Fan
navijač,tuuletin
navijač,ventilateur
navijač,fan
navijač,vantilatè
navijač,viftu
navijač,kipas
navijač,leanúna
navijač,fan
navijač,līdzjutējs
navijač,ventiliatorius
navijač,fan
navijač,fan
navijač,admirador
navijač,ventilator
navijač,ventilátor
lopta,Ball
lopta,Ball
lopta,Míč
lopta,Bal
lopta,Top
lopta,Pilota
lopta,Bold
lopta,Bal
lopta,Kuuli
lopta,Ball
lopta,Pallo
lopta,Balle
lopta,Bola
lopta,Bal
lopta,Bolti
lopta,Bola
lopta,Sláine
lopta,Sfera
lopta,Bumba
lopta,Rutulys
lopta,Ball
lopta,Ballun
lopta,Pelota
lopta,Žoga
lopta,Loptička
udarac,striker
udarac,Stürmer
udarac,útočník
udarac,aanvaller
udarac,sulmues
udarac,davanter
udarac,Striker
udarac,spits
udarac,ründaja
udarac,striker
udarac,hyökkääjä
udarac,le buteur
udarac,dianteiro
udarac,atakan
udarac,framherji
udarac,Striker
udarac,tosaí
udarac,attaccante
udarac,streikotājs
udarac,Puolėjas
udarac,spiss
udarac,attakkant
udarac,huelguista
udarac,napadalec
udarac,útočník
poen,point
poen,Punkt
poen,směřovat
poen,punt
poen,pikë
poen,punt
poen,punkt
poen,punt
poen,punkt
poen,punto
poen,kohta
poen,indiquer
poen,punto
poen,sans
poen,punktur
poen,titik
poen,pointe a fháil
poen,punto
poen,strīdēties
poen,taškas
poen,punkt
poen,punt
poen,punto
poen,točka
poen,bod
igrač,player
igrač,Spieler
igrač,hráč
igrač,toneelspeler
igrač,lojtar
igrač,jugadora
igrač,spiller
igrač,speler
igrač,mängija
igrač,manlalaro
igrač,pelaaja
igrač,joueur
igrač,xogador
igrač,jwè
igrač,Leikmaður
igrač,pemain
igrač,seinnteoir
igrač,giocatore
igrač,spēlētājs
igrač,žaidėjas
igrač,spiller
igrač,plejer
igrač,jugador
igrač,igralec
igrač,hráč
dres,jersey
dres,Jersey
dres,trikot
dres,trui
dres,triko
dres,jersei
dres,Jersey
dres,Jersey
dres,trikotapp
dres,Jersey
dres,jersey
dres,Jersey
dres,Xersei
dres,zoorik
dres,Jersey
dres,Jersey
dres,geansaí
dres,maglia
dres,krekls
dres,Džersis
dres,Jersey
dres,Jersey
dres,jersey
dres,Jersey
dres,dres
sudac,referee
sudac,Schiedsrichter
sudac,rozhodčí
sudac,skeidsregter
sudac,gjyqtar
sudac,àrbitre
sudac,Dommer
sudac,scheidsrechter
sudac,kohtunik
sudac,referee
sudac,tuomari
sudac,arbitre
sudac,Árbitro
sudac,abit
sudac,Dómari
sudac,wasit
sudac,réiteoir
sudac,arbitro
sudac,tiesnesis
sudac,teisėjas
sudac,dommer
sudac,Referee
sudac,árbitro
sudac,sodnik
sudac,rozhodca
reket,racket
reket,Schläger
reket,raketa
reket,raket
reket,raketë
reket,raqueta
reket,racket
reket,racket
reket,reket
reket,raketa
reket,maila
reket,raquette
reket,Racket
reket,etajè
reket,Gauragangur
reket,raket
reket,borsta
reket,racchetta
reket,rakete
reket,raketė
reket,rekkert
reket,Racket
reket,raqueta
reket,raketa
reket,raketa
rukavica,glove
rukavica,Handschuh
rukavica,rukavice
