nogomet,football,Fußball,Fotbal,sokker,futboll,futbol,Fodbold,Amerikaans voetbal,Jalgpall,Football,jalkapallo,Football,fútbol,foutbòl,fótbolti,sepak bola,sacar,calcio,futbols,futbolas,Fotball,futbol,fútbol,nogomet,futbal
odbojka,volleyball,Volleyball,volejbal,vlugbal,volejboll,voleibol,Volleyball,volleybal,võrkpall,volleyball,Lentopallo,volley-ball,voleibol,volebòl,Blak,bola voli,eitpheil,pallavolo,volejbols,Tinklinis,volleyball,Volleyball,vóleibol,odbojka,volejbal
tenis,tennis,Tennis,tenis,tennis,tenis,tenis,tennis,tennis,tennis,tennis,tennis,tennis,tenis,tenis,Tennis,tenis,Leadóg,tennis,teniss,tenisas,tennis,tennis,tenis,tenis,tenisový
hokej,hockey,Eishockey,hokej,hokkie,hokej,l’hoquei,Hockey,hockey,hok,hockey,jääkiekko,le hockey,Hockey,kay,íshokkí,hoki,haca,hockey,hokejs,ledo ritulys,hockey,hockey,hockey,hokej,hokej
kriket,cricket,Kricket,kriket,krieket,kriket,cricket,cricket,cricket,kriket,kuliglig,kriketti,criquet,cricket,krikèt,Krikket,jangkrik,criogar,cricket,krikets,Kriketas,siriss,cricket,Grillo,Kriket,kriket
skijanje,skiing,Skifahren,lyžování,ski,ski,esquiar,stå på ski,skiën,suusatamine,Skiing,hiihto,ski,esquí,ski,skíði,Ski,sciáil,sciare,slēpošana,slidinėjimas,stå på ski,skiing,esquí,smučanje,lyžovanie
hrvanje,wrestling,Ringen,zápas,stoei,mundje,lluita,brydning,worstelen,maadlus,Pakikipagbuno,paini,lutte,Loita,lit,Glíma,gulat,coraíocht,wrestling,cīkstēšanās,Imtynės,bryting,lotta,lucha,rokoborba,zápas
gimnastika,gymnastics,Gymnastik,gymnastika,gimnastiek,gjimnastikë,gimnàs,gymnastik,gymnastiek,võimlemine,Gymnastics,voimistelu,gymnastique,Ximnasia,jimnastik,Fimleikar,olahraga senam,gleacaíocht,ginnastica,vingrošana,gimnastika,gymnastikk,ġinnastika,gimnasia,Gimnastika,gymnastika
stolni tenis,table tennis,Tischtennis,stolní tenis,tafeltennis,pingpong,tennis taula,bordtennis,tafeltennis,lauatennis,tennis ng talahanayan,Pöytätennis,tennis de table,Tenis de mesa,Tenis tab,borðtennis,tenis meja,Leadóg bhoird,Tennis da tavolo,galda teniss,stalo tenisas,bordtennis,Tennis tat-Tabella,Tenis de mesa,namizni tenis,stolný tenis
snooker,Snooker,Snooker,Snooker,Snoeker,Zagar,Snooker,Snooker,Snooker,Snooker,Snooker,Snooker,Billard,Snooker,Sòti,Snóker,Snooker,Sicéir,Snooker,Snūkers,Snukeris,Snooker,Snooker,Snooker,Snooker,Hanbet
